Players,Country,Age,Specialism,BattingStyle,BowlingStyle,T20caps,IPL,2021Team,2021IPL,CaUcAs,ReservePrice Rs Lakh,PricePaid,Team
R Ashwin,India,35,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,51,167,DC,13,Capped,200,50000000,RR
Trent Boult,New Zealand,32,BOWLER,RHB,LEFT ARM Fast Medium,44,62,MI,14,Capped,200,80000000,RR
Pat Cummins,Australia,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,37,37,KKR,7,Capped,200,72500000,KKR
Quinton De Kock,South Africa,29,WICKETKEEPER,LHB,-,61,77,MI,11,Capped,200,67500000,LSG
Shikhar Dhawan,India,36,BATSMAN,LHB,-,68,192,DC,16,Capped,200,82500000,PK
Faf Du Plessis,South Africa,37,BATSMAN,RHB,RIGHT ARM Leg Spin,50,100,CSK,16,Capped,200,70000000,RCB
Shreyas Iyer,India,27,BATSMAN,RHB,RIGHT ARM Leg Spin,32,87,DC,8,Capped,200,122500000,KKR
Kagiso Rabada,South Africa,26,BOWLER,LHB,RIGHT ARM Fast,40,50,DC,15,Capped,200,92500000,PK
Mohammad Shami,India,32,BOWLER,RHB,RIGHT ARM Fast,17,77,PBKS,14,Capped,200,62500000,GT
David Warner,Australia,35,BATSMAN,LHB,-,88,150,SRH,8,Capped,200,62500000,DC
Shimron Hetmyer,West Indies,25,BATSMAN,LHB,RIGHT ARM Leg Spin,42,31,DC,14,Capped,150,85000000,RR
David Miller,South Africa,32,BATSMAN,LHB,-,95,89,RR,9,Capped,100,30000000,GT
Devdutt Padikkal,India,21,BATSMAN,LHB,RIGHT ARM Off Spin,2,29,RCB,14,Capped,200,77500000,RR
Manish Pandey,India,32,BATSMAN,RHB,RIGHT ARM Off Spin,39,154,SRH,8,Capped,100,46000000,LSG
Suresh Raina,India,35,BATSMAN,LHB,RIGHT ARM Off Spin,78,205,CSK,12,Capped,200,0,UnSold
Jason Roy,England,31,BATSMAN,RHB,-,53,13,SRH,5,Capped,200,20000000,GT
Steve Smith,Australia,32,BATSMAN,RHB,-,52,103,DC,8,Capped,200,0,UnSold
Robin Uthappa,India,36,BATSMAN,RHB,-,13,193,CSK,4,Capped,200,20000000,CSK
Shakib Al Hasan,Bangladesh,35,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,94,71,KKR,8,Capped,200,0,UnSold
Dwayne Bravo,West Indies,38,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,91,151,CSK,11,Capped,200,44000000,CSK
Wanindu Hasaranga,Sri Lanka,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,33,2,RCB,2,Capped,100,107500000,RCB
Jason Holder,West Indies,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,30,26,SRH,8,Capped,150,87500000,LSG
Mitchell Marsh,Australia,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,36,21,Do No Play,0,Capped,200,65000000,DC
Mohammad Nabi,Afghanistan,37,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,86,17,SRH,3,Capped,100,10000000,KKR
Krunal Pandya,India,31,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,19,84,MI,13,Capped,200,82500000,LSG
Harshal Patel,India,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,2,63,RCB,15,Capped,200,107500000,RCB
Nitish Rana,India,28,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,2,77,KKR,17,Capped,100,80000000,KKR
Washington Sundar,India,22,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,31,42,RCB,6,Capped,150,87500000,SRH
Jonny Bairstow,England,32,WICKETKEEPER,RHB,-,63,28,SRH,7,Capped,150,67500000,PK
Sam Billings,England,30,WICKETKEEPER,RHB,-,33,22,DC,0,Capped,200,20000000,KKR
Dinesh Karthik,India,36,WICKETKEEPER,RHB,-,32,213,KKR,17,Capped,200,55000000,RCB
Ishan Kishan,India,23,WICKETKEEPER,LHB,-,5,61,MI,10,Capped,200,152500000,MI
Nicholas Pooran,West Indies,26,WICKETKEEPER,LHB,-,49,33,PBKS,12,Capped,150,107500000,SRH
Ambati Rayudu,India,36,WICKETKEEPER,RHB,-,6,175,CSK,16,Capped,200,67500000,CSK
Wriddhiman Saha,India,37,WICKETKEEPER,RHB,-,0,133,SRH,9,Capped,100,19000000,GT
Matthew Wade,Australia,34,WICKETKEEPER,LHB,-,55,3,Do No Play,0,Capped,200,24000000,GT
Deepak Chahar,India,29,BOWLER,RHB,RIGHT ARM Fast Medium,17,63,CSK,15,Capped,200,140000000,CSK
Lockie Ferguson,New Zealand,30,BOWLER,RHB,RIGHT ARM Fast,15,22,KKR,8,Capped,200,100000000,GT
Josh Hazlewood,Australia,31,BOWLER,LHB,RIGHT ARM Fast,24,12,CSK,9,Capped,200,77500000,RCB
Prasidh Krishna,India,26,BOWLER,RHB,RIGHT ARM Fast,0,34,KKR,10,Capped,100,100000000,RR
Bhuvneshwar Kumar,India,32,BOWLER,RHB,RIGHT ARM Fast Medium,55,132,SRH,11,Capped,200,42000000,SRH
T Natarajan,India,30,BOWLER,LHB,LEFT ARM Fast,4,24,SRH,2,Capped,100,40000000,SRH
Mustafizur Rahman,Bangladesh,26,BOWLER,LHB,LEFT ARM Fast Medium,61,38,RR,14,Capped,200,20000000,DC
Shardul Thakur,India,30,BOWLER,RHB,RIGHT ARM Fast Medium,24,61,CSK,16,Capped,200,107500000,DC
Mark Wood,England,32,BOWLER,RHB,RIGHT ARM Fast,19,1,Do No Play,0,Capped,200,75000000,LSG
Umesh Yadav,India,34,BOWLER,RHB,RIGHT ARM Fast,7,121,DC,0,Capped,200,20000000,KKR
Yuzvendra Chahal,India,31,BOWLER,RHB,RIGHT ARM Leg Spin,50,114,RCB,15,Capped,200,65000000,RR
Rahul Chahar,India,22,BOWLER,RHB,RIGHT ARM Leg Spin,6,42,MI,11,Capped,75,52500000,PK
Amit Mishra,India,39,BOWLER,RHB,RIGHT ARM Leg Spin,10,154,DC,4,Capped,150,0,UnSold
Adil Rashid,England,34,BOWLER,RHB,RIGHT ARM Leg Spin,68,1,PBKS,1,Capped,200,0,UnSold
Imran Tahir,South Africa,43,BOWLER,RHB,RIGHT ARM Leg Spin,38,59,CSK,1,Capped,200,0,UnSold
Kuldeep Yadav,India,27,BOWLER,LHB,LEFT ARM Slow Unorthodox,23,45,KKR,0,Capped,100,20000000,DC
Mujeeb Zadran,Afghanistan,21,BOWLER,RHB,RIGHT ARM Off Spin,22,19,SRH,1,Capped,200,0,UnSold
Adam Zampa,Australia,29,BOWLER,RHB,RIGHT ARM Leg Spin,57,14,RCB,0,Capped,200,0,UnSold
Dewald Brevis,South Africa,18,BATSMAN,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,30000000,MI
Priyam Garg,India,21,BATSMAN,RHB,RIGHT ARM Off Spin,0,19,SRH,5,Uncapped,20,2000000,SRH
Ashwin Hebbar,India,26,BATSMAN,RHB,RIGHT ARM Medium,0,0,Do No Play,0,Uncapped,20,2000000,DC
CHari Nishaanth,India,25,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,CSK,0,Uncapped,20,2000000,CSK
Rajat Patidar,India,28,BATSMAN,RHB,RIGHT ARM Off Spin,0,4,RCB,4,Uncapped,20,0,UnSold
Abhinav Sadarangani,India,27,BATSMAN,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,26000000,GT
Anmolpreet Singh,India,24,BATSMAN,RHB,RIGHT ARM Off Spin,0,1,MI,1,Uncapped,20,2000000,MI
Rahul Tripathi,India,31,BATSMAN,RHB,RIGHT ARM Medium,0,62,KKR,17,Uncapped,40,85000000,SRH
Shahbaz Ahamad,India,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,13,RCB,11,Uncapped,30,24000000,RCB
Harpreet Brar,India,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,10,PBKS,7,Uncapped,20,38000000,PK
Deepak Hooda,India,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,80,PBKS,12,Uncapped,40,57500000,LSG
Sarfaraz Khan,India,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,40,PBKS,2,Uncapped,20,2000000,DC
Shahrukh Khan,India,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,11,PBKS,11,Uncapped,40,90000000,PK
Shivam Mavi,India,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,26,KKR,9,Uncapped,40,72500000,KKR
Kamlesh Nagarkoti,India,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,11,KKR,1,Uncapped,40,11000000,DC
Riyan Parag,India,20,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,30,RR,11,Uncapped,30,38000000,RR
Abhishek Sharma,India,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,22,SRH,8,Uncapped,20,65000000,SRH
Rahul Tewatia,India,28,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,0,48,RR,14,Uncapped,40,90000000,GT
Mohammed Azharuddeen,India,28,WICKETKEEPER,RHB,-,0,0,RCB,0,Uncapped,20,0,UnSold
KS Bharat,India,28,WICKETKEEPER,RHB,-,0,8,RCB,8,Uncapped,20,20000000,DC
Sheldon Jackson,India,35,WICKETKEEPER,RHB,-,0,4,KKR,0,Uncapped,30,6000000,KKR
N Jagadeesan,India,26,WICKETKEEPER,RHB,-,0,5,CSK,0,Uncapped,20,2000000,CSK
Anuj Rawat,India,22,WICKETKEEPER,LHB,-,0,2,RR,2,Uncapped,20,34000000,RCB
Jitesh Sharma,India,28,WICKETKEEPER,RHB,-,0,0,Do No Play,0,Uncapped,20,2000000,PK
Prabhsimran Singh,India,21,WICKETKEEPER,RHB,-,0,5,PBKS,2,Uncapped,20,6000000,PK
Vishnu Solanki,India,29,WICKETKEEPER,RHB,-,0,0,Do No Play,0,Uncapped,20,0,UnSold
Vishnu Vinod,India,28,WICKETKEEPER,RHB,-,0,3,DC,0,Uncapped,20,5000000,SRH
KM Asif,India,28,BOWLER,RHB,RIGHT ARM Fast,0,3,CSK,1,Uncapped,20,2000000,CSK
Akash Deep,India,25,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,RCB,0,Uncapped,20,2000000,RCB
Tushar Deshpande,India,26,BOWLER,LHB,RIGHT ARM Fast,0,5,Do No Play,0,Uncapped,20,2000000,CSK
Avesh Khan,India,25,BOWLER,RHB,RIGHT ARM Fast,0,25,DC,16,Uncapped,20,100000000,LSG
Ishan Porel,India,23,BOWLER,RHB,RIGHT ARM Fast Medium,0,1,PBKS,1,Uncapped,20,2500000,PK
Ankit Singh Rajpoot,India,28,BOWLER,RHB,RIGHT ARM Fast Medium,0,29,Do No Play,0,Uncapped,20,5000000,LSG
Basil Thampi,India,28,BOWLER,RHB,RIGHT ARM Fast Medium,0,20,SRH,0,Uncapped,30,3000000,MI
Kartik Tyagi,India,21,BOWLER,RHB,RIGHT ARM Fast Medium,0,14,RR,4,Uncapped,20,40000000,SRH
Noor Ahmad,Afghanistan,17,BOWLER,RHB,LEFT ARM Slow Unorthodox,0,0,Do No Play,0,Uncapped,30,3000000,GT
Murugan Ashwin,India,31,BOWLER,RHB,RIGHT ARM Leg Spin,0,34,PBKS,3,Uncapped,20,16000000,MI
KC Cariappa,India,27,BOWLER,RHB,RIGHT ARM Leg Spin,0,11,RR,0,Uncapped,20,3000000,RR
Shreyas Gopal,India,28,BOWLER,RHB,RIGHT ARM Leg Spin,0,48,RR,3,Uncapped,20,7500000,SRH
Sandeep Lamichhane,Nepal,21,BOWLER,RHB,RIGHT ARM Leg Spin,0,9,Do No Play,0,Associate,40,0,UnSold
R Sai Kishore,India,25,BOWLER,LHB,LEFT ARM Slow Orthodox,0,0,CSK,0,Uncapped,20,30000000,GT
M Siddharth,India,23,BOWLER,RHB,LEFT ARM Slow Orthodox,0,0,DC,0,Uncapped,20,0,UnSold
Jagadeesha Suchith,India,28,BOWLER,LHB,LEFT ARM Slow Orthodox,0,17,SRH,2,Uncapped,20,2000000,SRH
Aaron Finch,Australia,35,BATSMAN,RHB,LEFT ARM Slow Orthodox,83,87,Do No Play,0,Capped,150,0,UnSold
Marnus Labuschagne,Australia,27,BATSMAN,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Capped,100,0,UnSold
Dawid Malan,England,34,BATSMAN,LHB,RIGHT ARM Leg Spin,36,1,PBKS,1,Capped,150,0,UnSold
Aiden Markram,South Africa,27,BATSMAN,RHB,RIGHT ARM Off Spin,20,6,PBKS,6,Capped,100,26000000,SRH
Eoin Morgan,England,35,BATSMAN,LHB,RIGHT ARM Medium,113,83,KKR,17,Capped,150,0,UnSold
Cheteshwar Pujara,India,34,BATSMAN,RHB,RIGHT ARM Leg Spin,0,30,CSK,0,Capped,50,0,UnSold
Ajinkya Rahane,India,33,BATSMAN,RHB,-,20,151,DC,2,Capped,100,10000000,KKR
Mandeep Singh,India,30,BATSMAN,RHB,RIGHT ARM Medium,3,105,PBKS,1,Capped,50,11000000,DC
Saurabh Tiwary,India,32,BATSMAN,LHB,RIGHT ARM Off Spin,0,93,MI,5,Capped,50,0,UnSold
Dominic Drakes,West Indies,24,ALL-ROUNDER,LHB,LEFT ARM Fast,3,0,CSK,0,Capped,75,11000000,GT
Shivam Dube,India,28,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,13,24,RR,9,Capped,50,40000000,CSK
K Gowtham,India,33,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,24,CSK,0,Capped,50,9000000,LSG
Marco Jansen,South Africa,21,ALL-ROUNDER,RHB,LEFT ARM Fast,0,2,MI,2,Capped,50,42000000,SRH
Chris Jordan,England,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,71,24,PBKS,4,Capped,200,36000000,CSK
Liam Livingstone,England,28,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,14,9,RR,5,Capped,100,115000000,PK
James Neesham,New Zealand,31,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,38,12,MI,3,Capped,150,15000000,RR
Vijay Shankar,India,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,8,47,SRH,7,Capped,50,14000000,GT
Odean Smith,West Indies,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,5,0,Do No Play,0,Capped,100,60000000,PK
Jayant Yadav,India,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,19,MI,5,Capped,100,17000000,GT
Syed Khaleel Ahmed,India,24,BOWLER,RHB,LEFT ARM Fast,14,24,SRH,7,Capped,50,52500000,DC
Dushmanta Chameera,Sri Lanka,30,BOWLER,RHB,RIGHT ARM Fast,39,0,Do No Play,0,Capped,50,20000000,LSG
Sheldon Cottrell,West Indies,32,BOWLER,RHB,LEFT ARM Fast Medium,34,6,Do No Play,0,Capped,75,0,UnSold
Nathan Coulter-Nile,Australia,34,BOWLER,RHB,RIGHT ARM Fast Medium,28,38,MI,5,Capped,200,20000000,RR
Lungisani Ngidi,South Africa,26,BOWLER,RHB,RIGHT ARM Fast,23,14,CSK,3,Capped,50,5000000,DC
Navdeep Saini,India,29,BOWLER,RHB,RIGHT ARM Fast,11,28,RCB,2,Capped,75,26000000,RR
Chetan Sakariya,India,24,BOWLER,LHB,LEFT ARM Fast Medium,2,14,RR,14,Capped,50,42000000,DC
Ishant Sharma,India,33,BOWLER,RHB,RIGHT ARM Fast,14,93,DC,2,Capped,150,0,UnSold
Sandeep Sharma,India,28,BOWLER,RHB,RIGHT ARM Fast Medium,2,99,SRH,13,Capped,50,5000000,PK
Jaydev Unadkat,India,30,BOWLER,RHB,LEFT ARM Fast Medium,10,86,RR,6,Capped,75,13000000,MI
Qais Ahmad,Afghanistan,21,BOWLER,RHB,RIGHT ARM Leg Spin,1,0,Do No Play,0,Capped,50,0,UnSold
Piyush Chawla,India,33,BOWLER,LHB,RIGHT ARM Leg Spin,7,165,MI,1,Capped,100,0,UnSold
Mayank Markande,India,24,BOWLER,RHB,RIGHT ARM Leg Spin,1,18,RR,1,Capped,50,6500000,MI
Shahbaz Nadeem,India,32,BOWLER,RHB,LEFT ARM Slow Orthodox,0,72,SRH,1,Capped,50,5000000,LSG
Tabraiz Shamsi,South Africa,32,BOWLER,LHB,LEFT ARM Slow Unorthodox,41,5,RR,1,Capped,100,0,UnSold
Karn Sharma,India,34,BOWLER,LHB,RIGHT ARM Leg Spin,1,68,CSK,0,Capped,50,5000000,RCB
Ish Sodhi,New Zealand,29,BOWLER,RHB,RIGHT ARM Leg Spin,66,8,Do No Play,0,Capped,50,0,UnSold
Maheesh Theekshana,Sri Lanka,21,BOWLER,RHB,RIGHT ARM Off Spin,10,0,Do No Play,0,Capped,50,7000000,CSK
Sachin Baby,India,33,BATSMAN,LHB,RIGHT ARM Off Spin,0,19,RCB,1,Uncapped,20,0,UnSold
Ricky Bhui,India,25,BATSMAN,RHB,RIGHT ARM Off Spin,0,2,Do No Play,0,Uncapped,20,0,UnSold
Himanshu Rana,India,23,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Harnoor Singh,India,19,BATSMAN,LHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Himmat Singh,India,25,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Rinku Singh,India,24,BATSMAN,LHB,RIGHT ARM Off Spin,0,11,Do No Play,0,Uncapped,20,5500000,KKR
Virat Singh,India,24,BATSMAN,LHB,RIGHT ARM Off Spin,0,3,SRH,3,Uncapped,20,0,UnSold
Manan Vohra,India,28,BATSMAN,RHB,-,0,53,RR,4,Uncapped,20,2000000,LSG
Raj Angad Bawa,India,19,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,20000000,PK
Yash Dhull,India,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,5000000,DC
Rajvardhan Hangargekar,India,19,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,Do No Play,0,Uncapped,30,15000000,CSK
Mahipal Lomror,India,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,11,RR,4,Uncapped,40,9500000,RCB
Darshan Nalkande,India,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,PBKS,0,Uncapped,20,2000000,GT
Vicky Ostwal,India,19,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,2000000,DC
Ripal Patel,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,2,DC,2,Uncapped,20,2000000,DC
Anukul Roy,India,23,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,1,MI,0,Uncapped,20,2000000,KKR
N Tilak Varma,India,19,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,17000000,MI
Lalit Yadav,India,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,7,DC,7,Uncapped,20,6500000,DC
Sanjay Yadav,India,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,5000000,MI
Yash Dayal,India,24,BOWLER,RHB,LEFT ARM Fast,0,0,Do No Play,0,Uncapped,20,32000000,GT
Arzan Nagwaswalla,India,24,BOWLER,RHB,LEFT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Kuldeep Sen,India,25,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,2000000,RR
Akash Singh,India,19,BOWLER,RHB,LEFT ARM Fast,0,1,RR,1,Uncapped,20,0,UnSold
Simarjeet Singh,India,24,BOWLER,RHB,RIGHT ARM Fast,0,0,MI,0,Uncapped,20,2000000,CSK
Yash Thakur,India,23,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Vasu Vats,India,19,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Mujtaba Yousuf,India,19,BOWLER,LHB,LEFT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Finn Allen,New Zealand,22,BATSMAN,RHB,RIGHT ARM Off Spin,6,0,RCB,0,Capped,50,8000000,RCB
Devon Conway,New Zealand,30,BATSMAN,LHB,RIGHT ARM Medium,20,0,Do No Play,0,Capped,100,10000000,CSK
Alex Hales,England,33,BATSMAN,RHB,-,60,6,Do No Play,0,Capped,150,15000000,KKR
Evin Lewis,West Indies,30,BATSMAN,LHB,-,50,21,RR,5,Capped,200,20000000,LSG
Chris Lynn,Australia,31,BATSMAN,RHB,LEFT ARM Slow Orthodox,18,42,MI,1,Capped,150,0,UnSold
Karun Nair,India,30,BATSMAN,RHB,RIGHT ARM Off Spin,0,73,KKR,0,Capped,50,14000000,RR
Rovman Powell,West Indies,28,BATSMAN,RHB,RIGHT ARM Fast Medium,33,0,Do No Play,0,Capped,75,28000000,DC
Rassie Van Der Dussen,South Africa,33,BATSMAN,RHB,RIGHT ARM Off Spin,34,0,Do No Play,0,Capped,100,10000000,RR
Najibullah Zadran,Afghanistan,29,BATSMAN,LHB,RIGHT ARM Off Spin,68,0,Do No Play,0,Capped,50,0,UnSold
Jofra Archer,England,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,12,35,RR,0,Capped,200,80000000,MI
Charith Asalanka,Sri Lanka,24,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,9,0,Do No Play,0,Capped,50,0,UnSold
Rishi Dhawan,India,32,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,1,26,Do No Play,0,Capped,50,5500000,PK
George Garton,England,24,ALL-ROUNDER,LHB,LEFT ARM Fast,1,5,RCB,5,Capped,50,0,UnSold
Daryl Mitchell,New Zealand,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,25,0,Do No Play,0,Capped,75,7500000,RR
Dwaine Pretorius,South Africa,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,22,0,Do No Play,0,Capped,50,5000000,CSK
Sherfane Rutherford,West Indies,23,ALL-ROUNDER,LHB,RIGHT ARM Medium,6,7,Do No Play,0,Capped,100,10000000,RCB
Daniel Sams,Australia,29,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,4,5,RCB,2,Capped,100,26000000,MI
Mitchell Santner,New Zealand,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,62,6,CSK,0,Capped,100,19000000,CSK
Romario Shepherd,West Indies,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,9,0,Do No Play,0,Capped,75,77500000,SRH
Litton Das,Bangladesh,27,WICKETKEEPER,RHB,-,46,0,Do No Play,0,Capped,50,0,UnSold
Niroshan Dickwella,Sri Lanka,28,WICKETKEEPER,LHB,-,28,0,Do No Play,0,Capped,50,0,UnSold
Andre Fletcher,West Indies,34,WICKETKEEPER,RHB,-,54,0,Do No Play,0,Capped,50,0,UnSold
Rahmanullah Gurbaz,Afghanistan,20,WICKETKEEPER,RHB,-,18,0,Do No Play,0,Capped,50,0,UnSold
Shai Hope,West Indies,28,WICKETKEEPER,RHB,-,15,0,Do No Play,0,Capped,50,0,UnSold
Heinrich Klaasen,South Africa,30,WICKETKEEPER,RHB,-,0,7,Do No Play,0,Capped,50,0,UnSold
Ben Mcdermott,Australia,27,WICKETKEEPER,RHB,-,17,0,Do No Play,0,Capped,50,0,UnSold
Kusal Mendis,Sri Lanka,27,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,29,0,Do No Play,0,Capped,50,0,UnSold
Kusal Perera,Sri Lanka,31,WICKETKEEPER,LHB,-,60,2,Do No Play,0,Capped,50,0,UnSold
Joshua Philippe,Australia,24,WICKETKEEPER,RHB,-,10,5,Do No Play,0,Capped,100,0,UnSold
Glenn Phillips,New Zealand,25,WICKETKEEPER,RHB,RIGHT ARM Off Spin,35,3,RR,3,Capped,150,15000000,SRH
Tim Seifert,New Zealand,27,WICKETKEEPER,RHB,-,40,1,KKR,1,Capped,50,5000000,DC
Jason Behrendorff,Australia,31,BOWLER,RHB,LEFT ARM Fast Medium,9,5,CSK,0,Capped,75,7500000,RCB
Nathan Ellis,Australia,27,BOWLER,RHB,RIGHT ARM Fast Medium,2,3,PBKS,3,Capped,75,7500000,PK
Fazalhaq Farooqi,Afghanistan,21,BOWLER,RHB,LEFT ARM Fast Medium,1,0,Do No Play,0,Capped,50,5000000,SRH
Siddharth Kaul,India,31,BOWLER,RHB,RIGHT ARM Fast Medium,3,54,SRH,8,Capped,75,7500000,RCB
Obed Mccoy,West Indies,25,BOWLER,LHB,LEFT ARM Fast,13,0,Do No Play,0,Capped,75,7500000,RR
Tymal Mills,England,29,BOWLER,RHB,LEFT ARM Fast,9,5,Do No Play,0,Capped,100,15000000,MI
Adam Milne,New Zealand,29,BOWLER,RHB,RIGHT ARM Fast,31,9,MI,4,Capped,150,19000000,CSK
Reece Topley,England,28,BOWLER,RHB,LEFT ARM Fast,6,0,Do No Play,0,Capped,75,0,UnSold
Andrew Tye,Australia,35,BOWLER,RHB,RIGHT ARM Fast Medium,32,27,RR,0,Capped,100,0,UnSold
