Players,Country,Age,Specialism,BattingStyle,BowlingStyle,T20caps,IPL,2021Team,2021IPL,CaUcAs,ReservePrice Rs Lakh,PricePaid,Team
M Nidheesh,India,30,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Babasafi Pathan,India,27,BOWLER,RHB,RIGHT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Vidyadhar Patil,India,21,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Mukesh Kumar Singh,India,28,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
R Alexandar,India,26,BOWLER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Adithya Ashok,New Zealand,19,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Jasmer Dhankhar,India,23,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Prerit Dutta,India,23,BOWLER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Jon Russ Jaggesar,West Indies,36,BOWLER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
S Kishan Kumar,India,22,BOWLER,LHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Kevin Koththigoda,Sri Lanka,23,BOWLER,LHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Swaraj Wabale,India,24,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Curtis Campher,Ireland,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,9,0,Do No Play,0,Capped,50,0,UnSold
Colin De Grandhomme,New Zealand,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,41,25,Do No Play,0,Capped,100,0,UnSold
James Faulkner,Australia,31,ALL-ROUNDER,RHB,LEFT ARM Medium,24,60,Do No Play,0,Capped,100,0,UnSold
Craig Overton,England,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Capped,200,0,UnSold
Wayne Parnell,South Africa,32,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,40,26,Do No Play,0,Capped,50,0,UnSold
Samit Patel,England,37,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,18,0,Do No Play,0,Capped,50,0,UnSold
Thisara Perera,Sri Lanka,33,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,84,37,Do No Play,0,Capped,50,0,UnSold
Darcy Short,Australia,31,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,23,7,Do No Play,0,Capped,100,0,UnSold
Murali Vijay,India,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,9,106,Do No Play,0,Capped,50,0,UnSold
Jack Wildermuth,Australia,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,2,0,Do No Play,0,Capped,50,0,UnSold
Hamish Bennett,New Zealand,35,BOWLER,LHB,RIGHT ARM Fast Medium,11,0,Do No Play,0,Capped,50,0,UnSold
Daryn Dupavillon,South Africa,27,BOWLER,RHB,RIGHT ARM Fast,0,0,Do No Play,0,Capped,50,0,UnSold
Fidel Edwards,West Indies,40,BOWLER,RHB,RIGHT ARM Fast,26,6,Do No Play,0,Capped,50,0,UnSold
Hamid Hassan,Afghanistan,34,BOWLER,RHB,RIGHT ARM Fast,25,0,Do No Play,0,Capped,50,0,UnSold
Lahiru Kumara,Sri Lanka,25,BOWLER,RHB,RIGHT ARM Fast,14,0,Do No Play,0,Capped,50,0,UnSold
Joel Paris,Australia,29,BOWLER,LHB,LEFT ARM Fast Medium,0,0,Do No Play,0,Capped,50,0,UnSold
S Sreesanth,India,39,BOWLER,RHB,RIGHT ARM Fast Medium,10,44,Do No Play,0,Capped,50,0,UnSold
Oshane Thomas,West Indies,25,BOWLER,LHB,RIGHT ARM Fast,20,4,Do No Play,0,Capped,50,0,UnSold
Blair Tickner,New Zealand,28,BOWLER,RHB,RIGHT ARM Fast,8,0,Do No Play,0,Capped,50,0,UnSold
Isuru Udana,Sri Lanka,34,BOWLER,RHB,LEFT ARM Fast Medium,35,10,Do No Play,0,Capped,50,0,UnSold
Donavon Ferreira,South Africa,23,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Ramesh Kumar,India,23,BATSMAN,LHB,-,0,0,Do No Play,0,Uncapped,20,2000000,KKR
Bhupen Lalwani,India,23,BATSMAN,RHB,-,0,0,Do No Play,0,Uncapped,20,0,UnSold
Henan Malik,India,25,BATSMAN,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Pukhraj Mann,India,20,BATSMAN,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Shashwat Rawat,India,21,BATSMAN,LHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Pratham Singh,India,29,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,2000000,KKR
Jake Weatherald,Australia,27,BATSMAN,LHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Writtick Chatterjee,India,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,2000000,PK
Gerald Coetzee,South Africa,21,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Akshay Karnewar,India,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Sumit Kumar,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Abid Mushtaq,India,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Lone Muzaffar,India,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Ninad Rathva,India,23,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Shoun Roger,India,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Hrithik Shokeen,India,21,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,2000000,MI
Shashank Singh,India,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,Do No Play,0,Uncapped,20,2000000,SRH
Jaideep Bhambhu,India,23,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Nandre Burger,South Africa,26,BOWLER,LHB,LEFT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Matt Kelly,Australia,27,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,30,0,UnSold
V Koushik,India,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Akash Madhwal,India,28,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Amit Mishra,India,30,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Anuj Raj,India,21,BOWLER,RHB,LEFT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Abhijeet Saket,India,26,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Rahul Shukla,India,31,BOWLER,RHB,RIGHT ARM Fast,0,7,Do No Play,0,Uncapped,20,0,UnSold
Nuwan Thushara,Sri Lanka,27,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Mark Adnair,Ireland,26,ALL-ROUNDER,RHB,RIGHT ARM Fast,31,0,Do No Play,0,Capped,50,0,UnSold
Hilton Cartwright,Australia,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,Do No Play,0,Capped,50,0,UnSold
Gareth Delany,Ireland,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,29,0,Do No Play,0,Capped,50,0,UnSold
Danushka Gunatilaka,Sri Lanka,31,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,30,0,Do No Play,0,Capped,50,0,UnSold
Anaru Kitchen,New Zealand,38,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,5,0,Do No Play,0,Capped,50,0,UnSold
Dhananjaya Lakshan,Sri Lanka,23,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Capped,50,0,UnSold
Sisanda Magala,South Africa,31,ALL-ROUNDER,RHB,RIGHT ARM Fast,4,0,Do No Play,0,Capped,50,0,UnSold
Kyle Mayers,West Indies,29,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,2,0,Do No Play,0,Capped,50,5000000,LSG
Andile Phehlukwayo,South Africa,26,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,35,0,Do No Play,0,Capped,50,0,UnSold
Seekkuge Prasanna,Sri Lanka,36,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,20,0,Do No Play,0,Capped,50,0,UnSold
Raymon Reifer,West Indies,30,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,0,0,Do No Play,0,Capped,50,0,UnSold
Amit Ali,India,19,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Chaitanya Bishnoi,India,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Mayank Dagar,India,25,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Migael Pretorius,South Africa,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Karan Sharma,India,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,2000000,LSG
Shivam Sharma,India,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,5,Do No Play,0,Uncapped,20,0,UnSold
Pratyush Singh,India,27,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Sanvir Singh,India,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Dhrushant Soni,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
M Venkatesh,India,21,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Bandaru Ayyappa,India,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Gurnoor Singh Brar,India,21,BOWLER,LHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Akash Choudhary,India,22,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Baltej Dhanda,India,31,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,2000000,PK
Saurabh Dubey,India,24,BOWLER,RHB,LEFT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,2000000,SRH
Mohit Jangra,India,22,BOWLER,LHB,LEFT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Aaqib Khan,India,18,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Ruben Trumpelmann,Namibia,24,BOWLER,RHB,LEFT ARM Fast,0,0,Do No Play,0,Associate,20,0,UnSold
Brad Wheal,Scotland,25,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Associate,50,0,UnSold
Lalit Yadav,India,26,BOWLER,RHB,RIGHT ARM Fast,0,0,Do No Play,0,Uncapped,20,6500000,DC
Auqib Dar,India,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Chirag Gandhi,India,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Chris Green,Australia,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,1,Do No Play,0,Uncapped,40,0,UnSold
Sijomon Joseph,India,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Anirudha Joshi,India,34,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,DC,0,Uncapped,20,0,UnSold
Mohd Arshad Khan,India,24,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,2000000,MI
Ansh Patel,India,20,ALL-ROUNDER,RHB,LEFT ARM Slow Unorthodox,0,0,Do No Play,0,Uncapped,20,2000000,PK
Shubham Sharma,India,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Shubham Singh,India,25,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
KBhagath Varma,India,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,CSK,0,Uncapped,20,2000000,CSK
Arpit Guleria,India,24,BOWLER,RHB,RIGHT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Vipul Krishna,India,21,BOWLER,RHB,LEFT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Safvan Patel,India,23,BOWLER,RHB,LEFT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Chinntla Readdi,India,21,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Manish Reddy,India,23,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Ashok Sharma,India,19,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,5500000,KKR
Ravi Sharma,India,25,BOWLER,RHB,RIGHT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Shubham Singh,India,23,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Corbin Bosch,South Africa,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Nathan McAndrew,Australia,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Diwesh Pathania,India,32,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Shubham Ranjane,India,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Tom Rogers,Australia,28,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Johannes Smit,Namibia,26,ALL-ROUNDER,RHB,LEFT ARM Medium,0,0,Do No Play,0,Associate,20,0,UnSold
Sagar Trivedi,India,30,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Harsh Tyagi,India,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
R Vivek,India,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
RSonu Yadav,India,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
V Athisayaraj,India,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Ottneil Baartman,South Africa,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
MB Darshan,India,26,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
V Gowtham,India,19,BOWLER,LHB,LEFT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Khwezi Gumede,South Africa,22,BOWLER,RHB,LEFT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Liam Guthrie,Australia,24,BOWLER,LHB,LEFT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Liam Hatcher,Australia,25,BOWLER,RHB,RIGHT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Jay Bista,India,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Saurav Chuahan,India,21,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Tajinder Dhillon,India,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Dikshanshu Negi,India,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Abhishek Raut,India,35,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,22,Do No Play,0,Uncapped,20,0,UnSold
KV Sasikanth,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Bharat Sharma,India,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Shivam Sharma,India,26,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,5,Do No Play,0,Uncapped,20,0,UnSold
Arjun Tendulkar,India,22,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,0,0,MI,0,Uncapped,20,3000000,MI
Amit Yadav,India,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Manoj Bhandage,India,23,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Arun Chaprana,India,28,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Ajay Dev Goud,India,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Divyang Hinganekar,India,28,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Azim Kazi,India,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Sujit Nayak,India,32,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Parth Sahani,India,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Ashutosh Sharma,India,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Vivrant Sharma,India,22,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Kumar Kartikeya Singh,India,24,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Ravi Chauhan,India,28,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Shubham Garhwal,India,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,2000000,RR
Shafiqullah Ghafari,Afghanistan,20,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
M Mohammed,India,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Pulkit Narang,India,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Pradosh Paul,India,21,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Pushpendra Singh Rathore,India,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Jason Sangha,Australia,22,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Purnank Tyagi,India,21,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Samarth Vyas,India,26,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Duan Jansen,South Africa,21,ALL-ROUNDER,RHB,LEFT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Dev Lakra,India,19,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Ajay Mandal,India,26,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Lakhan Raja,India,27,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Girinath Reddy,India,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Siddhant Sharma,India,25,ALL-ROUNDER,LHB,LEFT ARM Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Matthew Short,Australia,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Anunay Singh,India,29,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,2000000,RR
Saurin Thakar,India,23,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Nyeem Young,West Indies,21,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Yuvraj Chaudhary,India,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Khizar Dafedar,India,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Sahil Dhiwan,India,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Arjit Gupta,India,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Mickil Jaiswal,India,23,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Ryan John,West Indies,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
J Kousik,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Jitender Pal,India,22,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Jonty Sidhu,India,24,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Yashovardhan Singh,India,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Beyers Swanepoel,South Africa,23,ALL-ROUNDER,LHB,RIGHT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Pranshu Vijayran,India,26,ALL-ROUNDER,LHB,RIGHT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Ishan Afridi,India,19,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Mohammed Afridi,India,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Prerit Agrawal,India,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Aidan Cahill,Australia,19,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Mark Deyal,West Indies,28,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Nidhish Rajagopal,India,22,ALL-ROUNDER,LHB,RIGHT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Bavanaka Sandeep,India,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Safyaan Sharif,Scotland,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Associate,20,0,UnSold
Henry Shipley,New Zealand,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Maxwell Swaminathan,India,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Johan Van Dyk,South Africa,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Dunith Wellalage,Sri Lanka,19,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
